caseId,module,expectedIntent,expectedSource,turnCount,actualAnswer,expectedAnswer,dialogId,answerSource,elapsedMs,availabilityPass,japaneseTonePass,keywordCoverage,overallStatus,failureReason
"QA-001","QAに基づく質問・回答","QA No.1 の問い合わせ","Excel QA","1","取り扱っているリーズにつきましては、LINEWORKSの掲示板にてご案内しておりますのでご確認ください。「リーズ会社一覧」と検索いただければ掲示板が確認できます。","取り扱っているリーズにつきましては、LINEWORKSの掲示板にてご案内しておりますのでご確認ください。「リーズ会社一覧」と検索いただければ掲示板が確認できます。","1017675165233503185","QA","971","true","true","100","review","manual_review_required_without_llm_judge"
"QA-002","QAに基づく質問・回答","QA No.2 の問い合わせ","Excel QA","1","リーズの質や中身につきましては、個別・具体的なご案内となりますので、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","リーズの質や中身につきましては、個別・具体的なご案内となりますので、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","1017675165233503186","QA","862","true","true","100","review","manual_review_required_without_llm_judge"
"QA-003","QAに基づく質問・回答","QA No.4 の問い合わせ","Excel QA","1","アプローチトークはリーズごとにご用意がございます。個別・具体的なご案内となりますので、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","アプローチトークはリーズごとにご用意がございます。個別・具体的なご案内となりますので、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","1017675165233503187","QA","786","true","true","100","review","manual_review_required_without_llm_judge"
"QA-004","QAに基づく質問・回答","QA No.5 の問い合わせ","Excel QA","1","追客の頻度やルールも、リーズごとに定めております。個別・具体的なご案内となりますので、お手数ですがメールまたはLINEWORKSにて、営業推進部の佐藤義朗までお問い合わせください。","追客の頻度やルールもリーズごとに定めております。個別・具体的なご案内となりますので、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","1017675165233503188","","3302","true","true","100","review","manual_review_required_without_llm_judge"
"QA-005","QAに基づく質問・回答","QA No.7 の問い合わせ","Excel QA","1","リーズごとに設定いただければ、地域・年齢にて絞り込みは可能でございます。具体的な方法については、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","リーズごとに設定いただければ、地域・年齢にて絞り込みは可能でございます。具体的な方法については、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","1017675165233503189","QA","808","true","true","100","review","manual_review_required_without_llm_judge"
"QA-006","QAに基づく質問・回答","QA No.8 の問い合わせ","Excel QA","1","入力方法はLINEWORKSの掲示板に掲載しておりますので、そちらをご覧ください。「申込前チェックシート及び取扱報告書」と検索いただければ掲示板が確認できます。","入力方法はLINEWORKSの掲示板に掲載しておりますので、そちらをご覧ください。「申込前チェックシート及び取扱報告書」と検索いただければ掲示板が確認できます。","1017675165233503190","QA","734","true","true","100","review","manual_review_required_without_llm_judge"
"QA-007","QAに基づく質問・回答","QA No.9 の問い合わせ","Excel QA","1","配信内容は、毎月の流行などに照らし合わせて営業推進部が決定しております。配信内容は事前にメールにてFPの皆さま宛にお送りしておりますので、ご確認ください。","配信内容は、毎月の流行などに照らし合わせて営業推進部が決定しております。配信内容は事前にメールにてFPの皆さま宛にお送りしておりますので、ご確認ください。","1017675165233503191","QA","791","true","true","100","review","manual_review_required_without_llm_judge"
"QA-008","QAに基づく質問・回答","QA No.10 の問い合わせ","Excel QA","1","公式LINEに入ったご連絡は、業務管理部のスタッフが通知を受け、各FPの皆さまへ連携させていただいております。","公式LINEに入ったご連絡は、業務管理部のスタッフが通知を受け、各FPの皆さまへ連携させていただいております。","1017675165233503192","QA","919","true","true","100","review","manual_review_required_without_llm_judge"
"QA-009","QAに基づく質問・回答","QA No.11 の問い合わせ","Excel QA","1","R&Cの公式ホームページから申し込みが可能なので、まずはホームページをご案内ください。ホームページの右上に「採用情報」というリンクがありますので、そちらをクリックいただき、採用ページにうつります。先ほどと同様に右上に「オンライン会社説明会」というボタンがありますので、そちらをクリックいただくと、公式LINEの案内が表示されます。その後は公式LINEの案内に沿ってお申込みくださいませ。","R&Cの公式ホームページから申し込みが可能なので、まずはホームページをご案内ください。ホームページの右上に「採用情報」というリンクがありますので、そちらをクリックいただき、採用ページにうつります。先ほどと同様に右上に「オンライン会社説明会」というボタンがありますので、そちらをクリックいただくと、公式LINEの案内が表示されます。その後は公式LINEの案内に沿ってお申込みくださいませ。","1017675165233503193","QA","782","true","true","100","review","manual_review_required_without_llm_judge"
"QA-010","QAに基づく質問・回答","QA No.13 の問い合わせ","Excel QA","1","はい、営業推進部へ移管が可能です。","はい、営業推進部へ移管が可能です。","1017675165233503194","QA","815","true","true","100","review","manual_review_required_without_llm_judge"
"QA-011","QAに基づく質問・回答","QA No.14 の問い合わせ","Excel QA","1","退職時の書類にあります契約者リストにて、移管先を「営業推進部」とご指定ください。","退職時の書類にあります契約者リストにて、移管先を「営業推進部」とご指定ください。","1017675165233503195","QA","746","true","true","100","review","manual_review_required_without_llm_judge"
"QA-012","QAに基づく質問・回答","QA No.15 の問い合わせ","Excel QA","1","事前情報はすべて、各拠点長へ連携させていただいております。連携している情報以上のものはございません。","事前情報はすべて、各拠点長へ連携させていただいております。連携している情報以上のものはございません。","1017675165233503196","QA","827","true","true","100","review","manual_review_required_without_llm_judge"
"QA-013","QAに基づく質問・回答","QA No.16 の問い合わせ","Excel QA","1","R&Cの公式ホームページから申し込みが可能なので、まずはホームページをご案内ください。ホームページの右上に「採用情報」というリンクがありますので、そちらをクリックいただき、採用ページにうつります。ページをスクロールしていただきますと、「オンラインミートアップ」というのが出てきますので、そちらからお申込みください。","R&Cの公式ホームページから申し込みが可能なので、まずはホームページをご案内ください。ホームページの右上に「採用情報」というリンクがありますので、そちらをクリックいただき、採用ページにうつります。ページをスクロールしていただきますと、「オンラインミートアップ」というのが出てきますので、そちらからお申込みください。","1017675165233503197","QA","824","true","true","100","review","manual_review_required_without_llm_judge"
"QA-014","QAに基づく質問・回答","QA No.21 の問い合わせ","Excel QA","1","まずはLINEWORKSの掲示板をご確認ください。「コンプライアンス規定等」や「コンプライアンスマニュアル（事例集）」と検索いただければ掲示板が確認できます。それでも判断が難しい場合は、メールまたはLINEWORKSにてコンプライアンス部の高田までお問い合わせください。","まずはLINEWORKSの掲示板をご確認ください。「コンプライアンス規定等」や「コンプライアンスマニュアル（事例集）」と検索いただければ掲示板が確認できます。それでも判断が難しい場合は、メールまたはLINEWORKSにてコンプライアンス部の高田までお問い合わせください。","1017675165233503198","QA","861","true","true","100","review","manual_review_required_without_llm_judge"
"QA-015","QAに基づく質問・回答","QA No.22 の問い合わせ","Excel QA","1","グレーな案件につきましては、メールまたはLINEWORKSにてコンプライアンス部の高田までお問い合わせください。","グレーな案件につきましては、メールまたはLINEWORKSにてコンプライアンス部の高田までお問い合わせください。","1017675165233503199","QA","788","true","true","100","review","manual_review_required_without_llm_judge"
"QA-016","QAに基づく質問・回答","QA No.24 の問い合わせ","Excel QA","1","参加時間や形式につきましては、研修ごとに掲示板にて案内しております。それでも分からない場合は、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","参加時間や形式につきましては、研修ごとに掲示板にて案内しております。それでも分からない場合は、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","1017675165233503200","QA","819","true","true","100","review","manual_review_required_without_llm_judge"
"QA-017","QAに基づく質問・回答","QA No.25 の問い合わせ","Excel QA","1","研修によって、資料・録画を用意している場合とそうでない場合がございます。LINEWORKSにて当該研修の掲示板をご確認ください。それでも分からない場合は、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","研修によって、資料・録画を用意している場合とそうでない場合がございます。LINEWORKSにて当該研修の掲示板をご確認ください。それでも分からない場合は、お手数ですがメールまたはLINEWORKSにて営業推進部の佐藤義朗までお問い合わせください。","1017675165233503201","QA","762","true","true","100","review","manual_review_required_without_llm_judge"
"QA-018","QAに基づく質問・回答","QA No.26 の問い合わせ","Excel QA","1","対象者の多い研修は、毎週月曜の朝礼にてお知らせしております。また、対象者が絞られる研修については、LINEWORKSの掲示板にて都度ご案内しておりますのでそちらをご確認ください。","対象者の多い研修は、毎週月曜の朝礼にてお知らせしております。また、対象者が絞られる研修については、LINEWORKSの掲示板にて都度ご案内しておりますのでそちらをご確認ください。","1017675165233503202","QA","779","true","true","100","review","manual_review_required_without_llm_judge"
"QA-019","QAに基づく質問・回答","QA No.28 の問い合わせ","Excel QA","1","就業規則上、退社のお申し出は基本的に1か月前までとなっております。お早めに上長へご相談ください。","就業規則上、退社のお申し出は基本的に1か月前までとなっております。お早めに上長へご相談ください。","1017675165233503203","QA","762","true","true","100","review","manual_review_required_without_llm_judge"
"QA-020","QAに基づく質問・回答","QA No.30 の問い合わせ","Excel QA","1","申込方法はLINEWORKSの掲示板に掲載しておりますので、「損保試験申込マニュアル」という掲示板名をご確認ください。","申込方法はLINEWORKSの掲示板に掲載しておりますので、「損保試験申込マニュアル」という掲示板名をご確認ください。","1017675165233503204","QA","796","true","true","100","review","manual_review_required_without_llm_judge"
"QA-021","QAに基づく質問・回答","QA No.31 の問い合わせ","Excel QA","1","アクサのAGキャンパスをご利用ください。あわせて紙のテキストも送付済みですので、お手元をご確認ください。","アクサのAGキャンパスをご利用ください。あわせて紙のテキストも送付済みですので、お手元をご確認ください。","1017675165233503205","QA","801","true","true","100","review","manual_review_required_without_llm_judge"
"QA-022","QAに基づく質問・回答","QA No.33 の問い合わせ","Excel QA","1","再試験の予約が可能になるまで数日かかります。予約可能日になりましたら、LINEWORKSとメールであわせてお知らせいたします。","再試験の予約が可能になるまで数日かかります。予約可能日になりましたら、LINEWORKSとメールであわせてお知らせいたします。","1017675165233503206","QA","775","true","true","100","review","manual_review_required_without_llm_judge"
"QA-023","QAに基づく質問・回答","QA No.34 の問い合わせ","Excel QA","1","試験日の変更は4営業日前まで可能です。それを過ぎますと変更できませんので、日程は事前にご確認ください。","試験日の変更は4営業日前まで可能です。それを過ぎますと変更できませんので、日程は事前にご確認ください。","1017675165233503207","","2614","true","true","100","review","manual_review_required_without_llm_judge"
"QA-024","QAに基づく質問・回答","QA No.35 の問い合わせ","Excel QA","1","欠席自体は問題ございません。別日での再予約をご希望の場合は、業務管理部までご連絡ください。","欠席自体は問題ございません。別日での再予約をご希望の場合は、業務管理部までご連絡ください。","1017675165233503208","QA","790","true","true","100","review","manual_review_required_without_llm_judge"
"QA-025","QAに基づく質問・回答","QA No.38 の問い合わせ","Excel QA","1","現時点では、FPがIFAを取り扱うことはできません。申し訳ございません。","現時点では、FPがIFAを取り扱うことはできません。申し訳ございません。","1017675165233503209","QA","793","true","false","100","review","manual_review_required_without_llm_judge"
"QA-026","QAに基づく質問・回答","QA No.39 の問い合わせ","Excel QA","1","募集が可能となる登録予定日をお伝えしますので、お手数ですが、個別に業務管理部の海渡までお問い合わせください。","募集が可能となる登録予定日をお伝えしますので、お手数ですが、個別に業務管理部の海渡までお問い合わせください。","1017675165233503210","QA","755","true","true","100","review","manual_review_required_without_llm_judge"
"QA-027","QAに基づく質問・回答","QA No.40 の問い合わせ","Excel QA","1","生保は翌朝にシステムへ反映されます。損保は登録日が別途設定されている場合がありますので、登録予定日を個別に業務管理部の海渡までご確認ください。","生保は翌朝にシステムへ反映されます。損保は登録日が別途設定されている場合がありますので、登録予定日を個別に業務管理部の海渡までご確認ください。","1017675165233503211","QA","840","true","true","100","review","manual_review_required_without_llm_judge"
"QA-028","QAに基づく質問・回答","QA No.41 の問い合わせ","Excel QA","1","登録番号は登録日にメールでお送りしております。メールをご参照ください。","登録番号は登録日にメールでお送りしております。メールをご参照ください。","1017675165233503212","","2224","true","true","100","review","manual_review_required_without_llm_judge"
"QA-029","QAに基づく質問・回答","QA No.42 の問い合わせ","Excel QA","1","協会登録から約2～3か月後が目安です。開通時にメールでご案内いたします。","協会登録から約2～3か月後が目安です。開通時にメールでご案内いたします。","1017675165233503213","QA","885","true","true","100","review","manual_review_required_without_llm_judge"
"QA-030","QAに基づく質問・回答","QA No.43 の問い合わせ","Excel QA","1","パスコードは同じポータルサイト内のT-net(Tネット)に記載がございますので、そちらをご確認ください。ご不明な場合はお手数ですが、LINEWORKSまたはメールにて業務管理部にお問い合わせください。","パスコードは同じポータルサイト内のT-net(Tネット)に記載がございますので、そちらをご確認ください。ご不明な場合はお手数ですが、LINEWORKSまたはメールにて業務管理部にお問い合わせください。","1017675165233503214","QA","802","true","true","100","review","manual_review_required_without_llm_judge"
"QA-031","QAに基づく質問・回答","QA No.45 の問い合わせ","Excel QA","1","即時には通知されません。数営業日お待ちください。各社からID・パスワードが自動的に、または本社からメールでお知らせされます。","即時には通知されません。数営業日お待ちください。各社からID・パスワードが自動的に、または本社からメールでお知らせされます。","1017675165233503215","QA","1192","true","true","100","review","manual_review_required_without_llm_judge"
